,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.6250),40.50217962265015
1,16384,tensor(0.9375),78.42056846618652
2,24576,tensor(1.2500),119.36937427520752
3,32768,tensor(2.8125),155.13562989234924
4,40960,tensor(7.5000),191.54690504074097
5,49152,tensor(6.8750),228.2031979560852
6,57344,tensor(10.),264.8059060573578
7,65536,tensor(6.5625),301.2837612628937
8,73728,tensor(8.4375),337.7420463562012
9,81920,tensor(8.1250),374.5954694747925
10,90112,tensor(7.8125),411.85173177719116
11,98304,tensor(8.1250),448.63448333740234
12,106496,tensor(8.1250),487.70405316352844
13,114688,tensor(10.3125),523.9106945991516
14,122880,tensor(9.6875),560.4296844005585
15,131072,tensor(9.6875),598.0906004905701
16,139264,tensor(14.0625),634.5195171833038
17,147456,tensor(11.8750),671.2463929653168
18,155648,tensor(10.6250),708.6017076969147
19,163840,tensor(13.1250),746.2053210735321
20,172032,tensor(11.5625),787.589412689209
21,180224,tensor(10.6250),824.3550450801849
22,188416,tensor(10.3125),862.9459586143494
23,196608,tensor(10.),900.5482478141785
24,204800,tensor(5.9375),938.3567590713501
25,212992,tensor(7.5000),976.0327227115631
26,221184,tensor(14.6875),1013.6805675029755
27,229376,tensor(7.1875),1055.7281663417816
28,237568,tensor(12.1875),1093.6720657348633
29,245760,tensor(12.1875),1131.9733016490936
30,253952,tensor(15.6250),1169.770220041275
31,262144,tensor(15.9375),1206.9451632499695
32,270336,tensor(15.6250),1243.9968338012695
33,278528,tensor(22.5000),1280.9757311344147
34,286720,tensor(15.),1321.0493936538696
35,294912,tensor(23.7500),1356.905035018921
36,303104,tensor(27.1875),1392.338176727295
37,311296,tensor(27.5000),1428.1148533821106
38,319488,tensor(33.1250),1464.861854314804
39,327680,tensor(31.2500),1501.0366547107697
40,335872,tensor(24.6875),1538.9079740047455
41,344064,tensor(24.3750),1574.510015487671
42,352256,tensor(25.9375),1612.659795999527
43,360448,tensor(28.1250),1648.5226678848267
44,368640,tensor(29.3750),1684.3854203224182
45,376832,tensor(30.),1725.1052107810974
46,385024,tensor(30.3125),1760.7325251102448
47,393216,tensor(27.8125),1796.292240858078
48,401408,tensor(30.),1832.2468118667603
49,409600,tensor(25.),1868.8236665725708
50,417792,tensor(29.3750),1906.9161865711212
51,425984,tensor(28.1250),1943.0899965763092
52,434176,tensor(25.),1978.0713651180267
53,442368,tensor(27.1875),2013.7191808223724
54,450560,tensor(26.5625),2049.417004108429
55,458752,tensor(29.3750),2086.825984954834
56,466944,tensor(30.),2123.867398262024
57,475136,tensor(32.1875),2159.868882417679
58,483328,tensor(29.3750),2195.726540327072
59,491520,tensor(25.),2232.7383885383606
60,499712,tensor(32.5000),2268.0074586868286
61,507904,tensor(29.3750),2303.389921426773
62,516096,tensor(34.3750),2340.087397813797
63,524288,tensor(27.8125),2375.211730003357
64,532480,tensor(32.5000),2410.5029084682465
65,540672,tensor(33.1250),2447.1395874023438
66,548864,tensor(30.6250),2482.303452014923
67,557056,tensor(31.8750),2519.886048555374
68,565248,tensor(32.1875),2555.4973969459534
69,573440,tensor(29.3750),2590.8345053195953
70,581632,tensor(28.7500),2628.7984912395477
71,589824,tensor(27.8125),2664.056221485138
72,598016,tensor(30.6250),2699.5935759544373
73,606208,tensor(32.8125),2738.910219192505
74,614400,tensor(30.3125),2774.295613527298
75,622592,tensor(31.2500),2809.5903544425964
