,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.6250),36.93193340301514
1,16384,tensor(0.6250),70.92504930496216
2,24576,tensor(0.3125),107.21486520767212
3,32768,tensor(1.5625),141.18980407714844
4,40960,tensor(1.5625),173.8032364845276
5,49152,tensor(4.0625),206.09973192214966
6,57344,tensor(5.9375),237.63548040390015
7,65536,tensor(6.8750),272.1897439956665
8,73728,tensor(9.3750),304.2951271533966
9,81920,tensor(10.9375),337.1329345703125
10,90112,tensor(9.3750),369.11546897888184
11,98304,tensor(10.3125),402.2540831565857
12,106496,tensor(9.6875),434.8399004936218
13,114688,tensor(10.),467.8114275932312
14,122880,tensor(11.2500),499.4760248661041
15,131072,tensor(16.5625),531.8768401145935
16,139264,tensor(14.6875),563.929224729538
17,147456,tensor(13.4375),595.9034998416901
18,155648,tensor(18.1250),629.8917143344879
19,163840,tensor(15.9375),661.8066878318787
20,172032,tensor(14.0625),694.1496875286102
21,180224,tensor(14.3750),725.6048765182495
22,188416,tensor(18.4375),758.156058549881
23,196608,tensor(17.5000),789.7928857803345
24,204800,tensor(18.7500),824.985249042511
25,212992,tensor(22.5000),856.9866211414337
26,221184,tensor(13.1250),889.7115490436554
27,229376,tensor(11.8750),921.7128036022186
28,237568,tensor(13.1250),954.5466446876526
29,245760,tensor(13.7500),986.423642873764
30,253952,tensor(11.2500),1021.0487308502197
31,262144,tensor(13.4375),1054.2945773601532
32,270336,tensor(12.1875),1086.3710074424744
33,278528,tensor(15.9375),1119.5130543708801
34,286720,tensor(14.0625),1151.585904598236
35,294912,tensor(13.7500),1186.1256248950958
36,303104,tensor(19.0625),1218.310397863388
37,311296,tensor(19.0625),1251.3390078544617
38,319488,tensor(19.3750),1284.0520370006561
39,327680,tensor(19.6875),1316.9390988349915
40,335872,tensor(23.1250),1351.030835866928
41,344064,tensor(14.6875),1383.6437191963196
42,352256,tensor(17.1875),1417.1385250091553
43,360448,tensor(18.1250),1450.320766210556
44,368640,tensor(18.4375),1483.5667583942413
45,376832,tensor(14.3750),1516.6246619224548
46,385024,tensor(15.9375),1549.3727099895477
47,393216,tensor(17.5000),1581.9561657905579
48,401408,tensor(20.9375),1614.9207117557526
49,409600,tensor(19.6875),1647.6349511146545
50,417792,tensor(19.6875),1680.496587753296
51,425984,tensor(13.4375),1714.6140885353088
52,434176,tensor(13.7500),1746.6354565620422
53,442368,tensor(13.7500),1779.6099569797516
54,450560,tensor(16.2500),1811.8548140525818
55,458752,tensor(16.2500),1844.3438034057617
56,466944,tensor(15.),1875.9715294837952
57,475136,tensor(15.),1910.5887279510498
58,483328,tensor(19.0625),1942.3642783164978
59,491520,tensor(19.0625),1974.5581407546997
60,499712,tensor(22.5000),2006.075268983841
61,507904,tensor(20.6250),2038.2008442878723
62,516096,tensor(24.6875),2069.898901462555
63,524288,tensor(20.3125),2103.888477087021
64,532480,tensor(15.6250),2136.298127889633
65,540672,tensor(25.3125),2167.747754573822
66,548864,tensor(21.2500),2199.8700416088104
67,557056,tensor(23.7500),2230.7733986377716
68,565248,tensor(22.5000),2262.554913520813
69,573440,tensor(18.1250),2293.5157086849213
70,581632,tensor(17.8125),2325.027545928955
71,589824,tensor(20.3125),2359.0950241088867
72,598016,tensor(18.1250),2390.830253601074
73,606208,tensor(23.1250),2421.871170282364
74,614400,tensor(21.5625),2453.61279463768
75,622592,tensor(23.4375),2484.694238424301
76,630784,tensor(25.),2516.0841405391693
77,638976,tensor(21.5625),2547.200954437256
78,647168,tensor(25.),2578.876137495041
79,655360,tensor(27.5000),2611.5820438861847
80,663552,tensor(27.8125),2644.7480285167694
81,671744,tensor(27.5000),2676.715305328369
82,679936,tensor(22.8125),2708.7336587905884
83,688128,tensor(25.9375),2740.459969520569
84,696320,tensor(29.6875),2772.3747527599335
85,704512,tensor(27.1875),2804.7955145835876
86,712704,tensor(29.6875),2838.2176988124847
87,720896,tensor(30.9375),2870.5612783432007
88,729088,tensor(29.6875),2902.1374666690826
89,737280,tensor(27.1875),2933.9186046123505
90,745472,tensor(29.3750),2965.3550264835358
91,753664,tensor(30.),2997.193115234375
92,761856,tensor(24.3750),3028.4616389274597
93,770048,tensor(24.3750),3059.885218143463
94,778240,tensor(29.0625),3093.326836824417
95,786432,tensor(30.3125),3125.113132715225
96,794624,tensor(27.5000),3156.6133811473846
97,802816,tensor(35.),3188.3285751342773
98,811008,tensor(25.3125),3219.8162178993225
99,819200,tensor(25.3125),3251.3673543930054
100,827392,tensor(30.),3282.8900327682495
101,835584,tensor(28.4375),3314.412222623825
102,843776,tensor(34.3750),3348.7377269268036
103,851968,tensor(25.),3380.4287145137787
104,860160,tensor(33.4375),3412.8100595474243
105,868352,tensor(29.6875),3444.2992482185364
106,876544,tensor(31.5625),3476.5249474048615
107,884736,tensor(30.9375),3508.4768481254578
108,892928,tensor(30.9375),3540.2251155376434
109,901120,tensor(33.7500),3574.211845636368
110,909312,tensor(23.4375),3605.5842485427856
111,917504,tensor(27.5000),3637.037266731262
112,925696,tensor(30.3125),3668.673663854599
113,933888,tensor(27.8125),3700.369877576828
114,942080,tensor(28.7500),3732.375024795532
115,950272,tensor(31.5625),3764.775181531906
116,958464,tensor(30.),3797.948320388794
117,966656,tensor(26.5625),3830.0886504650116
118,974848,tensor(24.6875),3861.5576298236847
119,983040,tensor(26.5625),3893.608430624008
120,991232,tensor(31.2500),3925.7580790519714
121,999424,tensor(31.2500),3958.2846217155457
122,1007616,tensor(24.0625),3991.889981031418
123,1015808,tensor(35.9375),4024.0231988430023
124,1024000,tensor(27.5000),4055.6003596782684
125,1032192,tensor(29.6875),4087.3295562267303
126,1040384,tensor(29.6875),4119.083718538284
127,1048576,tensor(30.3125),4151.055495500565
128,1056768,tensor(28.1250),4183.259998559952
129,1064960,tensor(26.2500),4216.952963113785
130,1073152,tensor(27.1875),4248.885071516037
131,1081344,tensor(21.8750),4280.5853769779205
132,1089536,tensor(27.5000),4312.222710609436
133,1097728,tensor(26.5625),4344.136796236038
134,1105920,tensor(31.5625),4376.314526081085
135,1114112,tensor(27.8125),4408.821073293686
136,1122304,tensor(32.5000),4442.715606927872
137,1130496,tensor(29.3750),4474.572427749634
138,1138688,tensor(25.9375),4506.677476406097
139,1146880,tensor(31.5625),4538.623884677887
140,1155072,tensor(30.3125),4570.287908554077
141,1163264,tensor(29.0625),4602.198806524277
142,1171456,tensor(31.8750),4635.571300983429
143,1179648,tensor(30.),4667.927864789963
144,1187840,tensor(30.6250),4699.26887178421
145,1196032,tensor(34.3750),4731.133469343185
146,1204224,tensor(35.9375),4762.9986209869385
147,1212416,tensor(30.),4794.881544351578
148,1220608,tensor(33.4375),4827.166516780853
149,1228800,tensor(27.5000),4859.233418464661
150,1236992,tensor(35.9375),4892.3385462760925
151,1245184,tensor(31.8750),4924.367503166199
152,1253376,tensor(28.1250),4956.393875837326
153,1261568,tensor(31.2500),4988.483155488968
154,1269760,tensor(25.),5020.352175951004
155,1277952,tensor(29.3750),5052.0864062309265
156,1286144,tensor(27.1875),5085.639951467514
