,Training Steps,Mean Reward,Time elapsed
90,745472,tensor(7.8125),3654.0566856861115
91,753664,tensor(5.),3692.586797475815
92,761856,tensor(5.9375),3734.0893700122833
93,770048,tensor(6.5625),3775.8503999710083
94,778240,tensor(4.6875),3815.587711572647
95,786432,tensor(3.1250),3854.7272238731384
96,794624,tensor(5.3125),3896.3186552524567
97,802816,tensor(3.7500),3936.6211829185486
98,811008,tensor(3.4375),3975.360277414322
99,819200,tensor(5.),4014.8946690559387
100,827392,tensor(6.2500),4054.0098416805267
101,835584,tensor(5.),4093.400776863098
102,843776,tensor(5.3125),4133.267562627792
103,851968,tensor(5.9375),4171.861747741699
104,860160,tensor(4.3750),4209.348318099976
105,868352,tensor(3.7500),4248.284780025482
106,876544,tensor(4.3750),4287.566390752792
107,884736,tensor(4.0625),4324.975414276123
108,892928,tensor(3.7500),4362.635885477066
109,901120,tensor(5.),4401.041430234909
110,909312,tensor(4.6875),4440.933304786682
111,917504,tensor(3.1250),4479.66269993782
112,925696,tensor(3.4375),4520.886631965637
113,933888,tensor(5.6250),4559.892780303955
114,942080,tensor(3.4375),4598.0218069553375
115,950272,tensor(4.3750),4646.346354007721
116,958464,tensor(6.2500),4686.952395915985
117,966656,tensor(5.9375),4728.016705036163
118,974848,tensor(5.),4767.906003952026
119,983040,tensor(7.5000),4806.64129114151
120,991232,tensor(6.2500),4845.5880246162415
121,999424,tensor(3.1250),4884.6314697265625
122,1007616,tensor(5.),4922.413167715073
123,1015808,tensor(3.1250),4959.932518720627
124,1024000,tensor(6.5625),4999.080214262009
125,1032192,tensor(5.6250),5041.0215311050415
126,1040384,tensor(4.3750),5079.962003469467
127,1048576,tensor(3.7500),5118.23908495903
128,1056768,tensor(4.0625),5158.644759893417
129,1064960,tensor(3.4375),5197.460120201111
130,1073152,tensor(5.3125),5235.733289480209
131,1081344,tensor(4.3750),5276.441438913345
132,1089536,tensor(3.7500),5314.488331317902
133,1097728,tensor(3.7500),5354.903395175934
134,1105920,tensor(4.6875),5393.763448238373
135,1114112,tensor(4.6875),5433.383685827255
136,1122304,tensor(5.9375),5473.035592556
137,1130496,tensor(3.7500),5511.091792583466
138,1138688,tensor(4.0625),5550.2496654987335
139,1146880,tensor(5.),5591.579216718674
140,1155072,tensor(4.0625),5632.758560419083
141,1163264,tensor(5.6250),5672.474351644516
142,1171456,tensor(4.6875),5710.90491437912
143,1179648,tensor(3.7500),5750.014564752579
144,1187840,tensor(4.3750),5788.832632780075
145,1196032,tensor(4.0625),5827.835275173187
146,1204224,tensor(5.3125),5866.552843093872
147,1212416,tensor(4.3750),5905.651337623596
148,1220608,tensor(3.1250),5945.382275342941
149,1228800,tensor(4.3750),5984.2633492946625
150,1236992,tensor(5.3125),6027.305155277252
151,1245184,tensor(4.6875),6066.002980232239
152,1253376,tensor(4.3750),6103.720136165619
153,1261568,tensor(3.7500),6144.297991514206
154,1269760,tensor(6.2500),6184.275727510452
155,1277952,tensor(3.4375),6223.9493770599365
156,1286144,tensor(3.7500),6262.968850374222
157,1294336,tensor(5.6250),6304.001438856125
158,1302528,tensor(4.0625),6344.381422758102
159,1310720,tensor(6.8750),6384.4288854599
160,1318912,tensor(5.6250),6424.460964679718
161,1327104,tensor(4.0625),6463.911113739014
