,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.6250),42.41200661659241
1,16384,tensor(0.3125),83.21869158744812
2,24576,tensor(0.),125.0799810886383
3,32768,tensor(0.),167.48882699012756
4,40960,tensor(0.),209.52855324745178
5,49152,tensor(0.),251.3067684173584
6,57344,tensor(0.),292.97059416770935
7,65536,tensor(0.),334.9055485725403
8,73728,tensor(0.),376.4593424797058
9,81920,tensor(0.),418.05347633361816
10,90112,tensor(0.),459.7373433113098
11,98304,tensor(0.3125),500.9914240837097
12,106496,tensor(0.3125),541.9334933757782
13,114688,tensor(0.3125),583.5887942314148
14,122880,tensor(0.),623.8451550006866
15,131072,tensor(0.),665.0174584388733
16,139264,tensor(0.),706.4132578372955
17,147456,tensor(0.),747.6741983890533
18,155648,tensor(0.),789.1443114280701
19,163840,tensor(0.3125),829.5010271072388
20,172032,tensor(0.3125),868.3676173686981
21,180224,tensor(0.6250),908.2366554737091
22,188416,tensor(0.6250),947.1268022060394
23,196608,tensor(0.),987.1806874275208
24,204800,tensor(0.9375),1026.4932634830475
25,212992,tensor(0.6250),1066.0467207431793
26,221184,tensor(0.6250),1105.1556198596954
27,229376,tensor(1.5625),1143.667870759964
28,237568,tensor(1.2500),1182.1847896575928
29,245760,tensor(4.0625),1220.5034487247467
30,253952,tensor(2.1875),1257.189274072647
31,262144,tensor(6.5625),1295.3003821372986
32,270336,tensor(4.3750),1332.647400856018
33,278528,tensor(6.5625),1369.294005393982
34,286720,tensor(7.8125),1406.4588241577148
35,294912,tensor(7.5000),1442.7957923412323
36,303104,tensor(7.8125),1478.8620784282684
37,311296,tensor(11.8750),1514.8642883300781
38,319488,tensor(15.3125),1551.6645703315735
39,327680,tensor(15.9375),1587.7259125709534
40,335872,tensor(15.3125),1624.215036392212
41,344064,tensor(18.7500),1660.4566006660461
42,352256,tensor(16.5625),1696.375216960907
43,360448,tensor(17.5000),1731.8565304279327
44,368640,tensor(17.1875),1767.5433418750763
45,376832,tensor(21.2500),1803.7772295475006
46,385024,tensor(21.5625),1839.971583366394
47,393216,tensor(22.1875),1876.4862532615662
48,401408,tensor(29.3750),1913.3000915050507
49,409600,tensor(20.6250),1948.339257478714
50,417792,tensor(22.1875),1985.2048869132996
51,425984,tensor(21.5625),2021.1434061527252
52,434176,tensor(20.6250),2057.6991848945618
53,442368,tensor(29.6875),2094.660073518753
54,450560,tensor(26.8750),2131.119815349579
55,458752,tensor(25.6250),2167.6426980495453
56,466944,tensor(26.8750),2204.1382825374603
57,475136,tensor(26.5625),2240.4749631881714
58,483328,tensor(27.5000),2276.757001876831
59,491520,tensor(25.9375),2313.5047974586487
60,499712,tensor(27.8125),2349.406838655472
61,507904,tensor(23.4375),2385.5375821590424
62,516096,tensor(25.3125),2421.660587310791
63,524288,tensor(29.0625),2458.293434858322
64,532480,tensor(26.8750),2495.088926076889
65,540672,tensor(26.2500),2530.7657442092896
66,548864,tensor(25.6250),2567.0250380039215
67,557056,tensor(23.4375),2602.768897294998
68,565248,tensor(27.8125),2639.151914834976
69,573440,tensor(25.3125),2675.1515147686005
70,581632,tensor(24.0625),2711.267550468445
71,589824,tensor(28.1250),2747.4290957450867
72,598016,tensor(29.3750),2783.431793689728
73,606208,tensor(31.2500),2819.736438035965
74,614400,tensor(33.1250),2856.2843520641327
75,622592,tensor(30.),2892.07968044281
76,630784,tensor(31.5625),2928.19025015831
77,638976,tensor(30.9375),2963.472528219223
78,647168,tensor(34.3750),2999.732622385025
79,655360,tensor(32.1875),3035.8565394878387
80,663552,tensor(35.),3072.1380050182343
81,671744,tensor(28.4375),3107.960077524185
82,679936,tensor(30.6250),3144.205576658249
83,688128,tensor(30.9375),3179.9287445545197
84,696320,tensor(34.3750),3216.6164865493774
85,704512,tensor(34.0625),3252.6659638881683
86,712704,tensor(30.3125),3287.122438430786
87,720896,tensor(30.6250),3322.689879655838
88,729088,tensor(36.8750),3359.529765367508
89,737280,tensor(37.8125),3395.5711753368378
90,745472,tensor(35.6250),3431.5336332321167
91,753664,tensor(37.8125),3467.061775445938
92,761856,tensor(35.6250),3502.460295200348
93,770048,tensor(40.9375),3538.1998991966248
94,778240,tensor(36.2500),3574.0530998706818
95,786432,tensor(35.3125),3609.3437383174896
96,794624,tensor(36.8750),3645.054826974869
97,802816,tensor(36.5625),3680.795161008835
98,811008,tensor(35.9375),3715.6751708984375
99,819200,tensor(34.6875),3751.3511142730713
100,827392,tensor(36.2500),3787.0904684066772
101,835584,tensor(34.0625),3822.227739572525
102,843776,tensor(34.0625),3857.116157770157
103,851968,tensor(37.5000),3892.9923458099365
104,860160,tensor(33.1250),3928.503940343857
105,868352,tensor(35.),3964.0081112384796
