,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.6250),43.91506314277649
1,16384,tensor(0.6250),80.56089210510254
2,24576,tensor(0.3125),116.48213195800781
3,32768,tensor(0.),151.97020554542542
4,40960,tensor(0.),190.92358303070068
5,49152,tensor(0.),231.3629252910614
6,57344,tensor(0.),270.2633056640625
7,65536,tensor(0.),309.17402625083923
8,73728,tensor(0.),350.5201585292816
9,81920,tensor(0.),391.47194147109985
10,90112,tensor(0.3125),431.68953347206116
11,98304,tensor(0.3125),471.16301441192627
12,106496,tensor(0.),510.6298360824585
13,114688,tensor(0.3125),550.1175203323364
14,122880,tensor(0.3125),589.0323586463928
15,131072,tensor(0.),629.1565022468567
16,139264,tensor(0.3125),668.8726289272308
17,147456,tensor(0.3125),709.0061318874359
18,155648,tensor(0.3125),748.1579566001892
19,163840,tensor(1.8750),787.0928699970245
20,172032,tensor(0.9375),824.7280673980713
21,180224,tensor(0.3125),863.6099555492401
22,188416,tensor(1.5625),901.9845328330994
23,196608,tensor(3.4375),941.2604775428772
24,204800,tensor(2.1875),977.932558298111
25,212992,tensor(2.1875),1017.4583134651184
26,221184,tensor(3.4375),1053.6149897575378
27,229376,tensor(6.5625),1089.980444908142
28,237568,tensor(9.0625),1128.796103477478
29,245760,tensor(5.9375),1165.2549476623535
30,253952,tensor(6.5625),1204.472974061966
31,262144,tensor(5.6250),1240.8594725131989
32,270336,tensor(7.8125),1277.3033845424652
33,278528,tensor(6.5625),1315.5470097064972
34,286720,tensor(5.9375),1351.25599193573
35,294912,tensor(7.5000),1388.1269943714142
36,303104,tensor(10.),1424.8513660430908
37,311296,tensor(9.3750),1462.3743896484375
38,319488,tensor(8.7500),1499.1705629825592
39,327680,tensor(8.7500),1535.6542465686798
40,335872,tensor(5.9375),1571.9157648086548
41,344064,tensor(9.3750),1609.092509508133
42,352256,tensor(12.8125),1644.574976682663
43,360448,tensor(11.8750),1680.2557933330536
44,368640,tensor(10.9375),1716.8471848964691
45,376832,tensor(11.5625),1753.1528868675232
46,385024,tensor(11.5625),1788.8027021884918
47,393216,tensor(15.6250),1824.853756427765
48,401408,tensor(20.6250),1860.5684134960175
49,409600,tensor(15.9375),1895.7171618938446
50,417792,tensor(19.6875),1931.4860665798187
51,425984,tensor(12.1875),1970.6611771583557
52,434176,tensor(20.),2007.400642156601
53,442368,tensor(17.8125),2043.4181649684906
54,450560,tensor(18.1250),2079.4565336704254
55,458752,tensor(15.9375),2115.815686225891
