,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.3125),52.177796840667725
1,16384,tensor(0.6250),99.2687394618988
2,24576,tensor(0.3125),140.5529339313507
3,32768,tensor(0.9375),190.20530700683594
4,40960,tensor(0.),246.48278212547302
5,49152,tensor(0.9375),290.04070687294006
6,57344,tensor(3.1250),337.928848028183
7,65536,tensor(4.6875),382.05991888046265
8,73728,tensor(4.6875),424.3494532108307
9,81920,tensor(3.4375),466.65112686157227
10,90112,tensor(4.6875),514.4968218803406
11,98304,tensor(4.6875),557.7341408729553
12,106496,tensor(6.2500),602.664130449295
13,114688,tensor(8.4375),650.3911752700806
14,122880,tensor(7.8125),697.0213937759399
15,131072,tensor(6.5625),743.5971133708954
16,139264,tensor(8.4375),792.4232187271118
17,147456,tensor(10.),837.8450636863708
18,155648,tensor(9.3750),884.8917574882507
19,163840,tensor(15.6250),925.5478398799896
20,172032,tensor(18.1250),977.2004108428955
21,180224,tensor(14.0625),1019.8197195529938
22,188416,tensor(16.8750),1058.8236026763916
23,196608,tensor(17.5000),1106.530616760254
24,204800,tensor(18.4375),1148.3728985786438
25,212992,tensor(16.2500),1197.1988215446472
26,221184,tensor(18.1250),1238.530161857605
27,229376,tensor(16.8750),1278.2159512043
28,237568,tensor(19.6875),1319.9760251045227
29,245760,tensor(20.9375),1361.2699918746948
30,253952,tensor(23.4375),1410.9710676670074
31,262144,tensor(20.),1455.9538915157318
32,270336,tensor(20.3125),1498.9118134975433
33,278528,tensor(21.8750),1548.547372341156
34,286720,tensor(19.0625),1594.6681745052338
35,294912,tensor(22.5000),1640.583711862564
36,303104,tensor(25.),1679.4456107616425
37,311296,tensor(24.3750),1718.895789384842
38,319488,tensor(25.9375),1764.7103927135468
39,327680,tensor(27.1875),1808.268304824829
40,335872,tensor(28.1250),1859.1989829540253
41,344064,tensor(25.9375),1897.8655745983124
42,352256,tensor(26.2500),1937.1684000492096
43,360448,tensor(29.6875),1978.0728616714478
44,368640,tensor(29.3750),2018.7363204956055
45,376832,tensor(27.8125),2063.1942143440247
46,385024,tensor(31.8750),2109.931215763092
47,393216,tensor(31.2500),2158.153687953949
48,401408,tensor(30.),2198.2490587234497
49,409600,tensor(30.9375),2236.076108932495
50,417792,tensor(32.8125),2273.9315469264984
51,425984,tensor(28.4375),2310.6306993961334
52,434176,tensor(34.6875),2350.684252977371
53,442368,tensor(33.1250),2392.186408996582
54,450560,tensor(32.1875),2433.8615839481354
55,458752,tensor(30.3125),2470.451892375946
56,466944,tensor(34.6875),2508.853621482849
57,475136,tensor(32.1875),2551.5765342712402
58,483328,tensor(34.3750),2591.3825030326843
59,491520,tensor(33.7500),2632.5063347816467
60,499712,tensor(27.1875),2675.178081512451
61,507904,tensor(31.2500),2713.9035320281982
62,516096,tensor(31.8750),2751.9029376506805
63,524288,tensor(30.6250),2792.3418912887573
64,532480,tensor(30.),2829.525423526764
65,540672,tensor(30.),2871.8385066986084
66,548864,tensor(32.5000),2916.804418563843
67,557056,tensor(34.0625),2954.8437428474426
68,565248,tensor(32.5000),2991.99848818779
69,573440,tensor(29.3750),3034.9717795848846
70,581632,tensor(35.9375),3073.177814722061
71,589824,tensor(38.7500),3117.1359984874725
72,598016,tensor(36.2500),3159.2954845428467
73,606208,tensor(36.5625),3199.6498503684998
74,614400,tensor(35.),3237.8421194553375
75,622592,tensor(31.8750),3275.8682475090027
76,630784,tensor(32.8125),3312.8966143131256
77,638976,tensor(30.),3355.300065279007
78,647168,tensor(36.2500),3399.0888726711273
79,655360,tensor(32.8125),3438.5830624103546
80,663552,tensor(34.0625),3476.4807517528534
81,671744,tensor(35.),3521.9862883090973
82,679936,tensor(32.8125),3560.083509206772
83,688128,tensor(31.2500),3597.932317495346
84,696320,tensor(39.3750),3635.9397332668304
85,704512,tensor(35.6250),3683.7809641361237
86,712704,tensor(37.5000),3721.7064464092255
87,720896,tensor(36.8750),3761.4903020858765
88,729088,tensor(32.8125),3798.9053268432617
89,737280,tensor(34.3750),3836.9418601989746
90,745472,tensor(37.8125),3881.3100476264954
91,753664,tensor(34.6875),3919.426922559738
92,761856,tensor(35.3125),3965.876233100891
93,770048,tensor(38.1250),4006.7268421649933
94,778240,tensor(34.0625),4044.109283208847
95,786432,tensor(36.8750),4085.351667404175
96,794624,tensor(35.),4123.550773143768
97,802816,tensor(38.1250),4170.50719165802
98,811008,tensor(36.2500),4208.583000898361
99,819200,tensor(34.6875),4246.397740840912
100,827392,tensor(34.6875),4286.762802839279
101,835584,tensor(36.2500),4325.928540468216
102,843776,tensor(33.1250),4365.567838430405
103,851968,tensor(34.6875),4406.911029100418
104,860160,tensor(32.1875),4448.049045324326
105,868352,tensor(37.1875),4492.716872692108
106,876544,tensor(39.6875),4530.784885883331
107,884736,tensor(39.3750),4568.284539461136
108,892928,tensor(34.6875),4606.1590394973755
109,901120,tensor(38.1250),4645.034111499786
110,909312,tensor(38.1250),4686.342511415482
111,917504,tensor(35.9375),4732.397446393967
112,925696,tensor(38.4375),4770.6295964717865
113,933888,tensor(33.4375),4814.302048921585
114,942080,tensor(45.),4853.554564714432
115,950272,tensor(40.6250),4890.7588992118835
116,958464,tensor(41.2500),4938.310709476471
117,966656,tensor(39.3750),4977.5763602256775
118,974848,tensor(37.1875),5015.128484964371
119,983040,tensor(43.1250),5053.393046140671
120,991232,tensor(40.),5092.102462530136
121,999424,tensor(41.2500),5135.906209468842
122,1007616,tensor(38.4375),5176.440802335739
123,1015808,tensor(39.0625),5215.466668844223
124,1024000,tensor(40.6250),5252.912947893143
125,1032192,tensor(35.9375),5293.485139131546
126,1040384,tensor(34.6875),5332.105936288834
127,1048576,tensor(37.1875),5372.520702600479
128,1056768,tensor(39.3750),5409.718295097351
129,1064960,tensor(39.0625),5448.076006650925
130,1073152,tensor(35.9375),5496.511956691742
131,1081344,tensor(41.8750),5534.607305526733
132,1089536,tensor(39.0625),5572.801274299622
133,1097728,tensor(44.0625),5614.306820869446
134,1105920,tensor(45.3125),5653.970912694931
135,1114112,tensor(37.5000),5693.028481960297
136,1122304,tensor(45.6250),5730.541147708893
137,1130496,tensor(36.8750),5770.87783241272
138,1138688,tensor(36.5625),5814.333801746368
139,1146880,tensor(40.3125),5853.876732349396
140,1155072,tensor(41.2500),5893.532927513123
141,1163264,tensor(38.1250),5932.525562286377
142,1171456,tensor(36.2500),5970.932128667831
143,1179648,tensor(36.2500),6011.209061384201
144,1187840,tensor(34.0625),6055.2173800468445
145,1196032,tensor(35.),6093.385454654694
146,1204224,tensor(34.3750),6135.3643543720245
147,1212416,tensor(35.),6172.45893239975
148,1220608,tensor(40.9375),6213.496246337891
149,1228800,tensor(35.3125),6258.6489844322205
150,1236992,tensor(36.2500),6298.782742738724
151,1245184,tensor(39.0625),6336.427328824997
152,1253376,tensor(38.1250),6374.8427855968475
153,1261568,tensor(42.1875),6413.054599523544
154,1269760,tensor(35.3125),6452.8260271549225
155,1277952,tensor(41.2500),6496.225422859192
156,1286144,tensor(36.5625),6538.439913034439
157,1294336,tensor(37.8125),6577.407738447189
158,1302528,tensor(45.9375),6618.878619432449
159,1310720,tensor(37.5000),6656.900527000427
160,1318912,tensor(36.8750),6697.055194377899
161,1327104,tensor(42.1875),6736.317043066025
162,1335296,tensor(37.1875),6778.8675763607025
163,1343488,tensor(41.8750),6821.380980968475
164,1351680,tensor(40.),6861.20622086525
165,1359872,tensor(39.6875),6900.772535562515
166,1368064,tensor(39.6875),6940.128862142563
167,1376256,tensor(37.5000),6980.7182359695435
168,1384448,tensor(38.1250),7023.208089590073
169,1392640,tensor(36.5625),7061.099917411804
170,1400832,tensor(37.5000),7106.343374967575
171,1409024,tensor(46.2500),7144.768093109131
172,1417216,tensor(40.3125),7183.061735868454
173,1425408,tensor(41.5625),7228.216580152512
174,1433600,tensor(40.),7266.8876953125
175,1441792,tensor(41.5625),7306.914759159088
176,1449984,tensor(40.3125),7345.091243267059
177,1458176,tensor(40.9375),7382.681083679199
178,1466368,tensor(39.0625),7424.062756061554
179,1474560,tensor(42.1875),7462.978214979172
180,1482752,tensor(37.8125),7503.75138425827
181,1490944,tensor(40.3125),7541.360892057419
182,1499136,tensor(42.5000),7582.726184844971
183,1507328,tensor(43.1250),7624.280219554901
184,1515520,tensor(39.6875),7664.038830041885
185,1523712,tensor(36.5625),7701.188697814941
186,1531904,tensor(35.9375),7739.777405500412
187,1540096,tensor(45.6250),7787.86608505249
188,1548288,tensor(35.9375),7825.985555887222
189,1556480,tensor(39.6875),7864.121437549591
190,1564672,tensor(42.5000),7902.41882443428
191,1572864,tensor(38.1250),7944.84305024147
192,1581056,tensor(38.1250),7984.780070304871
193,1589248,tensor(40.3125),8022.205332517624
194,1597440,tensor(39.6875),8066.472682237625
195,1605632,tensor(40.),8105.765922784805
196,1613824,tensor(32.5000),8146.603863477707
197,1622016,tensor(34.6875),8184.5037088394165
198,1630208,tensor(42.1875),8223.367849826813
199,1638400,tensor(41.2500),8260.704021215439
200,1646592,tensor(42.1875),8302.663592338562
201,1654784,tensor(35.6250),8345.003266572952
202,1662976,tensor(40.9375),8382.903986692429
203,1671168,tensor(38.4375),8420.815225839615
204,1679360,tensor(37.1875),8459.328339576721
205,1687552,tensor(34.6875),8501.255284070969
206,1695744,tensor(37.5000),8539.426669359207
207,1703936,tensor(36.2500),8576.904945850372
208,1712128,tensor(36.8750),8614.933661937714
209,1720320,tensor(36.8750),8658.467548370361
210,1728512,tensor(35.3125),8703.155301094055
211,1736704,tensor(34.0625),8740.014123678207
212,1744896,tensor(33.4375),8780.446694850922
213,1753088,tensor(29.3750),8818.486221551895
214,1761280,tensor(28.1250),8859.48932814598
215,1769472,tensor(36.8750),8898.32486987114
216,1777664,tensor(31.8750),8935.627569913864
217,1785856,tensor(36.5625),8982.423998832703
218,1794048,tensor(33.1250),9023.22249698639
219,1802240,tensor(33.4375),9061.76258277893
220,1810432,tensor(32.5000),9099.006584882736
221,1818624,tensor(36.2500),9137.349514484406
222,1826816,tensor(36.8750),9175.957282304764
223,1835008,tensor(32.8125),9214.071858882904
224,1843200,tensor(35.),9261.989161729813
225,1851392,tensor(33.4375),9299.074805021286
226,1859584,tensor(30.3125),9336.493787765503
227,1867776,tensor(35.9375),9373.82625079155
228,1875968,tensor(37.8125),9412.328922986984
229,1884160,tensor(40.3125),9454.61081624031
230,1892352,tensor(34.3750),9492.695852518082
231,1900544,tensor(28.7500),9532.844026088715
232,1908736,tensor(33.1250),9570.280882120132
233,1916928,tensor(37.1875),9614.09040260315
234,1925120,tensor(34.0625),9652.319874286652
235,1933312,tensor(35.9375),9690.366244077682
236,1941504,tensor(37.1875),9727.896626472473
237,1949696,tensor(32.5000),9765.701286792755
238,1957888,tensor(34.6875),9804.913071870804
239,1966080,tensor(32.1875),9849.211294174194
240,1974272,tensor(32.8125),9889.98972582817
241,1982464,tensor(37.1875),9928.258991718292
242,1990656,tensor(34.6875),9971.31777715683
243,1998848,tensor(33.1250),10009.096807479858
244,2007040,tensor(35.),10046.319609880447
245,2015232,tensor(36.8750),10090.16132760048
246,2023424,tensor(31.2500),10130.377440929413
247,2031616,tensor(34.3750),10169.974693059921
248,2039808,tensor(41.5625),10210.854447603226
249,2048000,tensor(35.),10249.096502542496
250,2056192,tensor(31.5625),10288.405191659927
251,2064384,tensor(39.6875),10328.516373634338
252,2072576,tensor(37.5000),10365.485618829727
253,2080768,tensor(39.6875),10403.728726148605
254,2088960,tensor(39.3750),10451.883613348007
255,2097152,tensor(34.0625),10489.784180879593
256,2105344,tensor(31.5625),10526.743694543839
257,2113536,tensor(38.7500),10570.164819717407
258,2121728,tensor(38.4375),10608.119530677795
259,2129920,tensor(34.6875),10646.211768388748
260,2138112,tensor(31.8750),10684.831759691238
261,2146304,tensor(35.3125),10728.99500656128
262,2154496,tensor(31.5625),10766.353754520416
263,2162688,tensor(33.7500),10806.74324965477
264,2170880,tensor(35.6250),10849.282979488373
265,2179072,tensor(38.4375),10886.866816520691
266,2187264,tensor(39.6875),10924.838797807693
267,2195456,tensor(36.5625),10962.884591579437
268,2203648,tensor(35.),11012.871544599533
269,2211840,tensor(33.1250),11049.812549352646
270,2220032,tensor(33.7500),11090.039874792099
271,2228224,tensor(30.3125),11131.040314435959
272,2236416,tensor(33.1250),11168.009505987167
273,2244608,tensor(33.7500),11209.00161242485
274,2252800,tensor(38.1250),11249.999804973602
275,2260992,tensor(35.),11287.206097126007
276,2269184,tensor(31.2500),11329.627376317978
277,2277376,tensor(36.8750),11371.789437770844
278,2285568,tensor(37.5000),11411.956631183624
279,2293760,tensor(28.1250),11451.934992074966
280,2301952,tensor(30.),11489.518208026886
281,2310144,tensor(29.0625),11530.605027198792
282,2318336,tensor(36.5625),11575.572975635529
283,2326528,tensor(32.1875),11615.101922988892
284,2334720,tensor(35.),11657.689875364304
285,2342912,tensor(28.7500),11694.477582454681
286,2351104,tensor(40.3125),11732.268028974533
287,2359296,tensor(32.5000),11769.883971452713
288,2367488,tensor(34.0625),11810.263350009918
289,2375680,tensor(35.3125),11847.341654777527
290,2383872,tensor(35.3125),11885.7786090374
291,2392064,tensor(31.5625),11934.47707748413
292,2400256,tensor(30.6250),11971.522366523743
293,2408448,tensor(33.4375),12008.584526777267
294,2416640,tensor(30.6250),12053.310954809189
295,2424832,tensor(35.),12090.250829458237
296,2433024,tensor(29.6875),12129.745662689209
297,2441216,tensor(31.2500),12171.889277458191
298,2449408,tensor(28.1250),12210.357440710068
299,2457600,tensor(32.8125),12247.659466266632
300,2465792,tensor(27.5000),12285.03309416771
301,2473984,tensor(30.6250),12327.858319282532
302,2482176,tensor(35.),12364.412630796432
303,2490368,tensor(31.5625),12401.780741930008
304,2498560,tensor(29.6875),12438.634305238724
305,2506752,tensor(38.7500),12486.070088624954
306,2514944,tensor(33.4375),12522.807092189789
307,2523136,tensor(32.1875),12563.386002540588
308,2531328,tensor(29.0625),12607.39878487587
309,2539520,tensor(34.6875),12644.263922214508
310,2547712,tensor(33.7500),12685.80323958397
311,2555904,tensor(32.8125),12722.463819265366
312,2564096,tensor(34.0625),12764.457117795944
313,2572288,tensor(23.1250),12805.010771274567
314,2580480,tensor(35.3125),12843.043124198914
315,2588672,tensor(32.8125),12888.65576004982
316,2596864,tensor(32.1875),12931.251705646515
317,2605056,tensor(29.0625),12969.12804532051
318,2613248,tensor(30.),13006.670624732971
319,2621440,tensor(29.3750),13044.945480585098
320,2629632,tensor(29.0625),13083.369755506516
321,2637824,tensor(37.5000),13128.095982551575
322,2646016,tensor(25.3125),13168.321011781693
323,2654208,tensor(21.8750),13206.58515572548
324,2662400,tensor(23.7500),13252.81163239479
325,2670592,tensor(26.2500),13292.94351220131
326,2678784,tensor(29.0625),13334.039070606232
327,2686976,tensor(27.5000),13371.077426195145
328,2695168,tensor(28.7500),13409.946946382523
329,2703360,tensor(25.),13455.279448986053
330,2711552,tensor(26.8750),13494.124278306961
331,2719744,tensor(23.7500),13531.690764904022
332,2727936,tensor(29.3750),13573.00579380989
333,2736128,tensor(23.4375),13612.958397865295
334,2744320,tensor(26.2500),13652.860966682434
335,2752512,tensor(25.9375),13690.389860868454
336,2760704,tensor(20.9375),13736.327167987823
337,2768896,tensor(23.4375),13774.675100326538
338,2777088,tensor(23.7500),13814.98154091835
339,2785280,tensor(24.6875),13853.947100877762
340,2793472,tensor(29.6875),13892.283201932907
341,2801664,tensor(23.4375),13932.17856168747
342,2809856,tensor(25.6250),13970.35163640976
343,2818048,tensor(22.5000),14011.945952892303
344,2826240,tensor(20.6250),14051.717206716537
345,2834432,tensor(20.9375),14097.335035800934
346,2842624,tensor(26.5625),14136.25648021698
347,2850816,tensor(25.),14175.830801486969
348,2859008,tensor(19.3750),14217.515646457672
349,2867200,tensor(22.1875),14256.115688085556
350,2875392,tensor(23.7500),14295.289384841919
351,2883584,tensor(34.3750),14334.957989931107
